=== [ISIC 2019] COMPREHENSIVE MEDICAL ABLATION STUDY STARTING ===
>> ISIC 2019 dataset is already prepared at './data/ISIC2019'. Skipping download.
>> Computed Class Weights for 8 classes: tensor([ 3.6499,  0.9530,  1.2068, 13.2618,  0.7001,  0.2459,  5.0458, 12.5396])

[ISIC 2019] Baseline ViT + KAN (Run 1/5)
[ISIC 2019] Baseline ViT + KAN (Run 5/5)
  Epoch [01/20] | Train Loss: 1.7322 | Val Acc: 57.61% | Macro F1: 0.4072 | Prec: 0.5032 | Rec: 0.5356
  Epoch [02/20] | Train Loss: 1.1115 | Val Acc: 65.62% | Macro F1: 0.4640 | Prec: 0.4983 | Rec: 0.6186
  Epoch [03/20] | Train Loss: 0.8730 | Val Acc: 54.75% | Macro F1: 0.4802 | Prec: 0.5264 | Rec: 0.6164
  Epoch [04/20] | Train Loss: 0.7131 | Val Acc: 70.67% | Macro F1: 0.6042 | Prec: 0.5816 | Rec: 0.6862
  Epoch [05/20] | Train Loss: 0.6148 | Val Acc: 73.99% | Macro F1: 0.6223 | Prec: 0.6114 | Rec: 0.7015
  Epoch [06/20] | Train Loss: 0.5149 | Val Acc: 55.16% | Macro F1: 0.5018 | Prec: 0.4697 | Rec: 0.6925
  Epoch [07/20] | Train Loss: 0.3747 | Val Acc: 70.12% | Macro F1: 0.5960 | Prec: 0.5953 | Rec: 0.6983
  Epoch [08/20] | Train Loss: 0.2998 | Val Acc: 73.28% | Macro F1: 0.6880 | Prec: 0.6692 | Rec: 0.7378
  Epoch [09/20] | Train Loss: 0.2777 | Val Acc: 77.44% | Macro F1: 0.6872 | Prec: 0.7174 | Rec: 0.6822
  Epoch [10/20] | Train Loss: 0.2707 | Val Acc: 78.03% | Macro F1: 0.6918 | Prec: 0.6606 | Rec: 0.7451
  Epoch [11/20] | Train Loss: 0.2300 | Val Acc: 77.48% | Macro F1: 0.7434 | Prec: 0.7472 | Rec: 0.7538
  Epoch [12/20] | Train Loss: 0.1395 | Val Acc: 76.83% | Macro F1: 0.7293 | Prec: 0.7165 | Rec: 0.7531
  Epoch [13/20] | Train Loss: 0.1395 | Val Acc: 80.38% | Macro F1: 0.7429 | Prec: 0.7433 | Rec: 0.7442
  Epoch [14/20] | Train Loss: 0.1414 | Val Acc: 79.63% | Macro F1: 0.7526 | Prec: 0.7452 | Rec: 0.7673
  Epoch [15/20] | Train Loss: 0.1428 | Val Acc: 79.65% | Macro F1: 0.7342 | Prec: 0.7283 | Rec: 0.7541
  Epoch [16/20] | Train Loss: 0.1989 | Val Acc: 77.99% | Macro F1: 0.7038 | Prec: 0.7172 | Rec: 0.6954
  Epoch [17/20] | Train Loss: 0.1531 | Val Acc: 80.99% | Macro F1: 0.7536 | Prec: 0.7694 | Rec: 0.7537
  Epoch [18/20] | Train Loss: 0.0377 | Val Acc: 83.48% | Macro F1: 0.7918 | Prec: 0.8067 | Rec: 0.7815
  Epoch [19/20] | Train Loss: 0.0210 | Val Acc: 83.11% | Macro F1: 0.7955 | Prec: 0.8009 | Rec: 0.7915
  Epoch [20/20] | Train Loss: 0.0857 | Val Acc: 66.96% | Macro F1: 0.5664 | Prec: 0.6032 | Rec: 0.6513

[ISIC 2019] Proposed ViT + BCT + KAN (Run 1/5)
  Epoch [01/20] | Train Loss: 1.7530 | Val Acc: 36.16% | Macro F1: 0.2924 | Prec: 0.3149 | Rec: 0.4523
  Epoch [02/20] | Train Loss: 1.2998 | Val Acc: 66.37% | Macro F1: 0.5049 | Prec: 0.4889 | Rec: 0.5675
  Epoch [03/20] | Train Loss: 1.1735 | Val Acc: 65.13% | Macro F1: 0.5231 | Prec: 0.5004 | Rec: 0.6288
  Epoch [04/20] | Train Loss: 1.0404 | Val Acc: 55.32% | Macro F1: 0.5178 | Prec: 0.5072 | Rec: 0.6269
  Epoch [05/20] | Train Loss: 0.9522 | Val Acc: 60.06% | Macro F1: 0.5370 | Prec: 0.5115 | Rec: 0.6331
  Epoch [06/20] | Train Loss: 0.9153 | Val Acc: 60.23% | Macro F1: 0.4358 | Prec: 0.4730 | Rec: 0.6005
  Epoch [07/20] | Train Loss: 0.8288 | Val Acc: 64.89% | Macro F1: 0.5364 | Prec: 0.4913 | Rec: 0.6706
  Epoch [08/20] | Train Loss: 0.7127 | Val Acc: 58.91% | Macro F1: 0.5621 | Prec: 0.5483 | Rec: 0.6574
  Epoch [09/20] | Train Loss: 0.6685 | Val Acc: 63.82% | Macro F1: 0.5596 | Prec: 0.5204 | Rec: 0.6735
  Epoch [10/20] | Train Loss: 0.5969 | Val Acc: 66.80% | Macro F1: 0.6005 | Prec: 0.5871 | Rec: 0.6735
  Epoch [11/20] | Train Loss: 0.5346 | Val Acc: 71.42% | Macro F1: 0.6232 | Prec: 0.5839 | Rec: 0.7159
  Epoch [12/20] | Train Loss: 0.5039 | Val Acc: 73.20% | Macro F1: 0.6530 | Prec: 0.6255 | Rec: 0.6999
  Epoch [13/20] | Train Loss: 0.4116 | Val Acc: 71.70% | Macro F1: 0.6555 | Prec: 0.6283 | Rec: 0.7185
  Epoch [14/20] | Train Loss: 0.4413 | Val Acc: 71.74% | Macro F1: 0.6273 | Prec: 0.6021 | Rec: 0.6877
  Epoch [15/20] | Train Loss: 0.3848 | Val Acc: 69.00% | Macro F1: 0.5813 | Prec: 0.5932 | Rec: 0.6588
  Epoch [16/20] | Train Loss: 0.3716 | Val Acc: 72.21% | Macro F1: 0.6613 | Prec: 0.6470 | Rec: 0.7084
  Epoch [17/20] | Train Loss: 0.4222 | Val Acc: 71.74% | Macro F1: 0.6392 | Prec: 0.6113 | Rec: 0.7327
  Epoch [18/20] | Train Loss: 0.3018 | Val Acc: 68.50% | Macro F1: 0.5977 | Prec: 0.5581 | Rec: 0.6777
  Epoch [19/20] | Train Loss: 0.3129 | Val Acc: 75.25% | Macro F1: 0.6755 | Prec: 0.6540 | Rec: 0.7214
  Epoch [20/20] | Train Loss: 0.2723 | Val Acc: 78.07% | Macro F1: 0.7039 | Prec: 0.7065 | Rec: 0.7169

[ISIC 2019] Proposed ViT + BCT + KAN (Run 2/5)
  Epoch [01/20] | Train Loss: 1.5721 | Val Acc: 57.73% | Macro F1: 0.3630 | Prec: 0.5040 | Rec: 0.4805
  Epoch [02/20] | Train Loss: 1.2460 | Val Acc: 58.10% | Macro F1: 0.4133 | Prec: 0.4038 | Rec: 0.5620
  Epoch [03/20] | Train Loss: 1.1000 | Val Acc: 65.29% | Macro F1: 0.5420 | Prec: 0.5163 | Rec: 0.6227
  Epoch [04/20] | Train Loss: 0.9645 | Val Acc: 63.79% | Macro F1: 0.5336 | Prec: 0.5169 | Rec: 0.6531
  Epoch [05/20] | Train Loss: 0.8837 | Val Acc: 60.63% | Macro F1: 0.5183 | Prec: 0.4940 | Rec: 0.6544
  Epoch [06/20] | Train Loss: 0.9144 | Val Acc: 65.58% | Macro F1: 0.5455 | Prec: 0.5433 | Rec: 0.6601
  Epoch [07/20] | Train Loss: 0.8013 | Val Acc: 69.05% | Macro F1: 0.6129 | Prec: 0.5953 | Rec: 0.6580
  Epoch [08/20] | Train Loss: 0.7026 | Val Acc: 73.16% | Macro F1: 0.6522 | Prec: 0.6659 | Rec: 0.6648
  Epoch [09/20] | Train Loss: 0.6841 | Val Acc: 68.52% | Macro F1: 0.5674 | Prec: 0.5542 | Rec: 0.6471
  Epoch [10/20] | Train Loss: 0.5912 | Val Acc: 69.90% | Macro F1: 0.6195 | Prec: 0.5794 | Rec: 0.7024
  Epoch [11/20] | Train Loss: 0.5205 | Val Acc: 69.19% | Macro F1: 0.6424 | Prec: 0.6163 | Rec: 0.7005
  Epoch [12/20] | Train Loss: 0.4255 | Val Acc: 73.57% | Macro F1: 0.6399 | Prec: 0.6094 | Rec: 0.7083
  Epoch [13/20] | Train Loss: 0.4707 | Val Acc: 66.96% | Macro F1: 0.6024 | Prec: 0.6131 | Rec: 0.6553
  Epoch [14/20] | Train Loss: 0.4039 | Val Acc: 71.54% | Macro F1: 0.6478 | Prec: 0.6154 | Rec: 0.7185
  Epoch [15/20] | Train Loss: 0.3607 | Val Acc: 73.63% | Macro F1: 0.6893 | Prec: 0.6648 | Rec: 0.7325
  Epoch [16/20] | Train Loss: 0.3998 | Val Acc: 72.51% | Macro F1: 0.6321 | Prec: 0.6259 | Rec: 0.6547
  Epoch [17/20] | Train Loss: 0.3291 | Val Acc: 74.15% | Macro F1: 0.6589 | Prec: 0.6292 | Rec: 0.7358
  Epoch [18/20] | Train Loss: 0.3379 | Val Acc: 72.01% | Macro F1: 0.6480 | Prec: 0.6125 | Rec: 0.7014
  Epoch [19/20] | Train Loss: 0.2835 | Val Acc: 75.03% | Macro F1: 0.6876 | Prec: 0.6604 | Rec: 0.7270
  Epoch [20/20] | Train Loss: 0.2421 | Val Acc: 77.40% | Macro F1: 0.7168 | Prec: 0.7069 | Rec: 0.7315

[ISIC 2019] Proposed ViT + BCT + KAN (Run 3/5)
  Epoch [01/20] | Train Loss: 1.5831 | Val Acc: 63.39% | Macro F1: 0.4825 | Prec: 0.4593 | Rec: 0.5872
  Epoch [02/20] | Train Loss: 1.2446 | Val Acc: 67.04% | Macro F1: 0.4826 | Prec: 0.4887 | Rec: 0.5694
  Epoch [03/20] | Train Loss: 1.1676 | Val Acc: 60.17% | Macro F1: 0.4808 | Prec: 0.4895 | Rec: 0.5773
  Epoch [04/20] | Train Loss: 1.0594 | Val Acc: 66.17% | Macro F1: 0.5241 | Prec: 0.5516 | Rec: 0.6110
  Epoch [05/20] | Train Loss: 0.9321 | Val Acc: 66.69% | Macro F1: 0.5585 | Prec: 0.5470 | Rec: 0.6290
  Epoch [06/20] | Train Loss: 0.8728 | Val Acc: 68.01% | Macro F1: 0.5824 | Prec: 0.5818 | Rec: 0.6520
  Epoch [07/20] | Train Loss: 0.8603 | Val Acc: 69.39% | Macro F1: 0.5879 | Prec: 0.5788 | Rec: 0.6670
  Epoch [08/20] | Train Loss: 0.7925 | Val Acc: 70.53% | Macro F1: 0.6071 | Prec: 0.5764 | Rec: 0.6779
  Epoch [09/20] | Train Loss: 0.7357 | Val Acc: 63.73% | Macro F1: 0.5497 | Prec: 0.5408 | Rec: 0.6673
  Epoch [10/20] | Train Loss: 0.6992 | Val Acc: 70.61% | Macro F1: 0.6020 | Prec: 0.5945 | Rec: 0.6614
  Epoch [11/20] | Train Loss: 0.7117 | Val Acc: 66.90% | Macro F1: 0.6006 | Prec: 0.6060 | Rec: 0.6557
  Epoch [12/20] | Train Loss: 0.5791 | Val Acc: 71.68% | Macro F1: 0.6461 | Prec: 0.6318 | Rec: 0.6868
  Epoch [13/20] | Train Loss: 0.5113 | Val Acc: 70.28% | Macro F1: 0.6323 | Prec: 0.6092 | Rec: 0.6844
  Epoch [14/20] | Train Loss: 0.5947 | Val Acc: 68.52% | Macro F1: 0.5917 | Prec: 0.5440 | Rec: 0.7120
  Epoch [15/20] | Train Loss: 0.4514 | Val Acc: 72.23% | Macro F1: 0.6650 | Prec: 0.6574 | Rec: 0.6915
  Epoch [16/20] | Train Loss: 0.4044 | Val Acc: 69.00% | Macro F1: 0.6160 | Prec: 0.6321 | Rec: 0.6365
  Epoch [17/20] | Train Loss: 0.3609 | Val Acc: 72.96% | Macro F1: 0.6730 | Prec: 0.6755 | Rec: 0.6973
  Epoch [18/20] | Train Loss: 0.3615 | Val Acc: 69.09% | Macro F1: 0.6350 | Prec: 0.6067 | Rec: 0.6979
  Epoch [19/20] | Train Loss: 0.2983 | Val Acc: 70.46% | Macro F1: 0.6817 | Prec: 0.6522 | Rec: 0.7331
  Epoch [20/20] | Train Loss: 0.3596 | Val Acc: 71.66% | Macro F1: 0.6635 | Prec: 0.6354 | Rec: 0.7169

[ISIC 2019] Proposed ViT + BCT + KAN (Run 4/5)
  Epoch [01/20] | Train Loss: 1.5975 | Val Acc: 61.87% | Macro F1: 0.4585 | Prec: 0.4656 | Rec: 0.5335
  Epoch [02/20] | Train Loss: 1.1921 | Val Acc: 64.48% | Macro F1: 0.4531 | Prec: 0.4818 | Rec: 0.5335
  Epoch [03/20] | Train Loss: 1.0503 | Val Acc: 66.98% | Macro F1: 0.5224 | Prec: 0.4811 | Rec: 0.6608
  Epoch [04/20] | Train Loss: 1.0278 | Val Acc: 57.31% | Macro F1: 0.4982 | Prec: 0.4747 | Rec: 0.6232
  Epoch [05/20] | Train Loss: 1.0101 | Val Acc: 59.96% | Macro F1: 0.5017 | Prec: 0.4687 | Rec: 0.5815
  Epoch [06/20] | Train Loss: 0.9255 | Val Acc: 65.48% | Macro F1: 0.5164 | Prec: 0.4983 | Rec: 0.5838
  Epoch [07/20] | Train Loss: 0.8431 | Val Acc: 65.11% | Macro F1: 0.5635 | Prec: 0.5547 | Rec: 0.6340
  Epoch [08/20] | Train Loss: 0.7177 | Val Acc: 66.15% | Macro F1: 0.5578 | Prec: 0.5374 | Rec: 0.6790
  Epoch [09/20] | Train Loss: 0.7593 | Val Acc: 64.69% | Macro F1: 0.5363 | Prec: 0.5040 | Rec: 0.6856
  Epoch [10/20] | Train Loss: 0.6623 | Val Acc: 68.42% | Macro F1: 0.6088 | Prec: 0.5670 | Rec: 0.7030
  Epoch [11/20] | Train Loss: 0.5604 | Val Acc: 74.66% | Macro F1: 0.6698 | Prec: 0.6653 | Rec: 0.6883
  Epoch [12/20] | Train Loss: 0.4900 | Val Acc: 76.20% | Macro F1: 0.6759 | Prec: 0.6911 | Rec: 0.6734
  Epoch [13/20] | Train Loss: 0.4660 | Val Acc: 68.13% | Macro F1: 0.5987 | Prec: 0.5887 | Rec: 0.6676
  Epoch [14/20] | Train Loss: 0.4054 | Val Acc: 75.09% | Macro F1: 0.6805 | Prec: 0.6447 | Rec: 0.7302
  Epoch [15/20] | Train Loss: 0.4076 | Val Acc: 72.15% | Macro F1: 0.6660 | Prec: 0.6521 | Rec: 0.7132
  Epoch [16/20] | Train Loss: 0.3692 | Val Acc: 74.62% | Macro F1: 0.6513 | Prec: 0.6158 | Rec: 0.7246
  Epoch [17/20] | Train Loss: 0.3123 | Val Acc: 73.87% | Macro F1: 0.6776 | Prec: 0.6647 | Rec: 0.7054
  Epoch [18/20] | Train Loss: 0.3617 | Val Acc: 61.52% | Macro F1: 0.5580 | Prec: 0.5446 | Rec: 0.6754
  Epoch [19/20] | Train Loss: 0.2772 | Val Acc: 75.25% | Macro F1: 0.7223 | Prec: 0.7302 | Rec: 0.7251
  Epoch [20/20] | Train Loss: 0.2115 | Val Acc: 77.28% | Macro F1: 0.7206 | Prec: 0.7068 | Rec: 0.7501

[ISIC 2019] Proposed ViT + BCT + KAN (Run 5/5)
  Epoch [01/20] | Train Loss: 1.8277 | Val Acc: 59.40% | Macro F1: 0.3803 | Prec: 0.4175 | Rec: 0.3932
  Epoch [02/20] | Train Loss: 1.3211 | Val Acc: 63.17% | Macro F1: 0.4641 | Prec: 0.4711 | Rec: 0.5523
  Epoch [03/20] | Train Loss: 1.1513 | Val Acc: 62.44% | Macro F1: 0.4874 | Prec: 0.4748 | Rec: 0.5929
  Epoch [04/20] | Train Loss: 1.0441 | Val Acc: 65.44% | Macro F1: 0.5276 | Prec: 0.5380 | Rec: 0.6052
  Epoch [05/20] | Train Loss: 0.9464 | Val Acc: 66.96% | Macro F1: 0.5727 | Prec: 0.5522 | Rec: 0.6488
  Epoch [06/20] | Train Loss: 0.8611 | Val Acc: 60.09% | Macro F1: 0.5031 | Prec: 0.4778 | Rec: 0.6448
  Epoch [07/20] | Train Loss: 0.7914 | Val Acc: 71.34% | Macro F1: 0.6060 | Prec: 0.5965 | Rec: 0.6388
  Epoch [08/20] | Train Loss: 0.7841 | Val Acc: 67.04% | Macro F1: 0.5861 | Prec: 0.5419 | Rec: 0.6946
  Epoch [09/20] | Train Loss: 0.6896 | Val Acc: 67.40% | Macro F1: 0.5711 | Prec: 0.5264 | Rec: 0.6862
  Epoch [10/20] | Train Loss: 0.6075 | Val Acc: 67.12% | Macro F1: 0.6363 | Prec: 0.6013 | Rec: 0.7166
